Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
22644-9960,SF,Omri,Omri Casspi,Casspi,16.00666707,30,4000,UTA@GS,GS,UTA,0,0
22644-58153,SF,Kelly,Kelly Oubre Jr.,Oubre Jr.,22.49117683,34,4700,WAS@ATL,WAS,ATL,0,0
22644-16448,PF,Frank,Frank Kaminsky,Kaminsky,18.72666626,30,4100,BOS@CHA,CHA,BOS,0,0
22644-14521,PF,Kenneth,Kenneth Faried,Faried,15.5,25,3600,DEN@MIN,DEN,MIN,0,0
22644-9609,C,Al,Al Jefferson,Jefferson,15.60833359,12,3200,DAL@IND,IND,DAL,0,0
22644-42665,PG,Andrew,Andrew Harrison,Harrison,15.52500044,28,4100,MEM@LAL,MEM,LAL,0,0
22644-11074,SG,Garrett,Garrett Temple,Temple,16.58064516,31,4000,CLE@SAC,SAC,CLE,0,0
22644-15771,PF,Gorgui,Gorgui Dieng,Dieng,16.06774213,31,3600,DEN@MIN,MIN,DEN,0,0
22644-80813,PG,Frank,Frank Ntilikina,Ntilikina,15.3799998,30,3800,NY@CHI,NY,CHI,0,0
22644-9648,PF,Jeff,Jeff Green,Green,18.62647023,34,3900,CLE@SAC,CLE,SAC,0,0
22644-23121,PF,Tyler,Tyler Cavanaugh,Cavanaugh,11.83809553,21,3400,WAS@ATL,ATL,WAS,0,0
22644-9506,SG,JR,JR Smith,Smith,17.1636371,33,3900,CLE@SAC,CLE,SAC,0,0
22644-15800,PF,Jae,Jae Crowder,Crowder,15.72058824,34,3900,CLE@SAC,CLE,SAC,0,0
22644-81529,PF,Daniel,Daniel Theis,Theis,13.19714268,35,3600,BOS@CHA,BOS,CHA,0,0
22644-14510,SG,Alec,Alec Burks,Burks,18.03235222,34,4300,UTA@GS,UTA,GS,0,0
22644-15548,SG,Andre,Andre Roberson,Roberson,17.03437424,32,3700,TOR@OKC,OKC,TOR,0,0
22644-58083,C,Jahlil,Jahlil Okafor,Okafor,13.69999949,3,3500,BKN@NO,BKN,NO,0,0
22644-15591,C,Miles,Miles Plumlee,Plumlee,11.56428528,14,3500,WAS@ATL,ATL,WAS,0,0
22644-9451,PF,Marvin,Marvin Williams,Williams,19.02121249,33,3900,BOS@CHA,CHA,BOS,0,0
22644-42733,SF,David,David Nwaba,Nwaba,19.96666609,21,4000,NY@CHI,CHI,NY,0,0
22644-16368,PF,Mike,Mike Scott,Scott,16.24516149,31,4500,WAS@ATL,WAS,ATL,0,0
22644-20992,PF,Larry,Larry Nance Jr.,Nance Jr.,22.95714315,21,4400,MEM@LAL,LAL,MEM,0,0
22644-60021,PF,Pascal,Pascal Siakam,Siakam,18.46774194,31,3700,TOR@OKC,TOR,OKC,0,0
22644-15996,PG,Jerian,Jerian Grant,Grant,20.36666593,33,3900,NY@CHI,CHI,NY,0,0
22644-70821,C,Georgios,Georgios Papagiannis,Papagiannis,8.17142868,7,3000,CLE@SAC,SAC,CLE,0,0
22644-42158,SG,Jabari,Jabari Bird,Bird,3.96666654,3,3000,BOS@CHA,BOS,CHA,0,0
22644-14529,PG,Cory,Cory Joseph,Joseph,17.67353013,34,3700,DAL@IND,IND,DAL,0,0
22644-71467,PG,Malcolm,Malcolm Delaney,Delaney,12.67599976,25,3800,WAS@ATL,ATL,WAS,0,0
22644-16196,PF,Dwight,Dwight Powell,Powell,16.48823458,34,3300,DAL@IND,DAL,IND,0,0
22644-58247,PG,Isaiah,Isaiah Whitehead,Whitehead,13.2,10,3200,BKN@NO,BKN,NO,0,0
22644-9643,PG,Shaun,Shaun Livingston,Livingston,11.33703726,27,3600,UTA@GS,GS,UTA,0,0
22644-17384,C,Kyle,Kyle O'Quinn,O'Quinn,19.45151589,33,3800,NY@CHI,NY,CHI,0,0
22644-15961,C,Tyler,Tyler Zeller,Zeller,16.74400024,25,3500,BKN@NO,BKN,NO,0,0
22644-12424,C,Timofey,Timofey Mozgov,Mozgov,9.900000139,22,3000,BKN@NO,BKN,NO,0,0
22644-42677,PG,Terry,Terry Rozier,Rozier,19.32973006,37,4600,BOS@CHA,BOS,CHA,0,0
22644-40830,PG,Delon,Delon Wright,Wright,16.90500031,20,3800,TOR@OKC,TOR,OKC,0,0
22644-9606,SF,Corey,Corey Brewer,Brewer,7.571875095,32,3400,MEM@LAL,LAL,MEM,0,0
22644-9652,PG,Jameer,Jameer Nelson,Nelson,16.17931077,29,3400,BKN@NO,NO,BKN,0,0
22644-9731,C,Kosta,Kosta Koufos,Koufos,16.84062576,32,3500,CLE@SAC,SAC,CLE,0,0
22644-12339,C,Ekpe,Ekpe Udoh,Udoh,13.55624962,32,3600,UTA@GS,UTA,GS,0,0
22644-41597,SF,Johnathan,Johnathan Motley,Motley,8.199999809,1,3000,DAL@IND,DAL,IND,0,0
22644-9870,SG,Kyle,Kyle Korver,Korver,16.03823494,34,3600,CLE@SAC,CLE,SAC,0,0
22644-63127,C,Willy,Willy Hernangomez,Hernangomez,11.5799998,15,3700,NY@CHI,NY,CHI,0,0
22644-9447,SF,Joe,Joe Johnson,Johnson,12.35714286,14,3700,UTA@GS,UTA,GS,0,0
22644-9448,SG,Jamal,Jamal Crawford,Crawford,15.07352941,34,3900,DEN@MIN,MIN,DEN,0,0
22644-9454,C,Zaza,Zaza Pachulia,Pachulia,14.82,25,3300,UTA@GS,GS,UTA,0,0
22644-49114,PG,Frank,Frank Mason,Mason,15.45000047,26,3000,CLE@SAC,SAC,CLE,0,0
22644-9712,PG,Jose,Jose Calderon,Calderon,11,25,3800,CLE@SAC,CLE,SAC,0,0
22644-59483,PF,Chris,Chris McCullough,McCullough,6.109999847,10,3000,WAS@ATL,WAS,ATL,0,0
22644-12423,C,Omer,Omer Asik,Asik,4.755555471,9,3000,BKN@NO,NO,BKN,0,0
22644-66196,SG,PJ,PJ Dozier,Dozier,0,0,3000,TOR@OKC,OKC,TOR,0,0
22644-24247,PG,Fred,Fred VanVleet,VanVleet,15.12187481,32,3500,TOR@OKC,TOR,OKC,0,0
22644-81621,PF,Maxi,Maxi Kleber,Kleber,14.10689676,29,4000,DAL@IND,DAL,IND,0,0
